"TID","CommonName","Subspecies","Longitude","Latitude","taxa","Year","Count","cv","Units","Region"
"MUSP120","Racovitzia glacialis",NA,NA,NA,"Unexploited small pelagics",1996,0.000163774,NA,"Counts per m3","Antartica continental shelf"
"MUSP120","Racovitzia glacialis",NA,NA,NA,"Unexploited small pelagics",2005,0.000296094,NA,"Counts per m3","Antartica continental shelf"
"MUSP120","Racovitzia glacialis",NA,NA,NA,"Unexploited small pelagics",2008,0.000213957,NA,"Counts per m3","Antartica continental shelf"
"MUSP120","Racovitzia glacialis",NA,NA,NA,"Unexploited small pelagics",2009,0.000201737,NA,"Counts per m3","Antartica continental shelf"
"MUSP120","Racovitzia glacialis",NA,NA,NA,"Unexploited small pelagics",2010,0.000267902,NA,"Counts per m3","Antartica continental shelf"
"MUSP120","Racovitzia glacialis",NA,NA,NA,"Unexploited small pelagics",2011,0.000866184,NA,"Counts per m3","Antartica continental shelf"
"MUSP120","Racovitzia glacialis",NA,NA,NA,"Unexploited small pelagics",2013,0.00026055,NA,"Counts per m3","Antartica continental shelf"
"MUSP121","Rosenblattia robusta",NA,NA,NA,"Unexploited small pelagics",1999,9.705e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP122","Scopelosaurus hamiltoni",NA,NA,NA,"Unexploited small pelagics",1998,5.28e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP122","Scopelosaurus hamiltoni",NA,NA,NA,"Unexploited small pelagics",1999,5.448e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP123","Sio nordenskjoldii",NA,NA,NA,"Unexploited small pelagics",1991,3.15e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP123","Sio nordenskjoldii",NA,NA,NA,"Unexploited small pelagics",2006,9.99e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP124","Slosarczykovia circumantarctica",NA,NA,NA,"Unexploited small pelagics",2004,1.739e-05,NA,"Counts per m3","Antartica continental shelf"
