Family;Genus;Species;Year;Sub-Region;Month;Season;Period;Gear_Name;Catchability;Tot.Weight_(t);Tot.Density_(t/km2);Volume_(m3);Surface_(m2);Mean_Depth_Catch;Case;Reference,,,,,,,,,,,
Stomiidae;Stomias;boa;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;3.111909594;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Stomiidae;Stomias;boa;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.185724047;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Stomiidae;Stomias;boa;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.160960841;NA;NA;333.333333333333;1;Bernal,,,,,,,,,,,
Stomiidae;Stomias;boa;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;3.435482158;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Macrouridae;Nezumia;sclerorhynchus;2005;Ion;Otter trawl;Summer;D;Otter trawl;0.16;NA;0.0027275;NA;0;311;2;DÍOnghia,,,,,,,,,, 397-411,
Myctophidae;Lampanyctus;crocodilus;2005;Ion;Otter trawl;Summer;D;Otter trawl;0.16;NA;0.00001;NA;0;311;2;DÍOnghia,,,,,,,,,, 397-411,
Notacanthidae;Notacanthus;bonaparte;2005;Ion;Otter trawl;Summer;D;Otter trawl;0.16;NA;2.5e-05;NA;0;549;2;DÍOnghia,,,,,,,,,, 397-411,
Stomiidae;Chauliodus;sloani;2005;Ion;Otter trawl;Summer;D;Otter trawl;0.16;NA;6.25e-06;NA;0;311;2;DÍOnghia,,,,,,,,,, 397-411,
Stomiidae;Stomias;boa;2005;Ion;Otter trawl;Summer;D;Otter trawl;0.16;NA;3.75e-06;NA;0;475;2;DÍOnghia,,,,,,,,,, 397-411,
Evermannellidae;Evermannella;balbo;2010;East;OTMS;Summer;D;Otter trawl;0.16;3.821491304;0.253250001;85540.2912;94.31123616;650;1;Deval,,,,,,,,,,,
Myctophidae;Diaphus;metopoclampus;2010;East;Otter trawl;Fall;D;Otter trawl;0.16;20.911601689;0.563797255;85540.2912;231.8165073;533.333333333333;1;Deval,,,,,,,,,,,
Myctophidae;Diaphus;metopoclampus;2010;East;Otter trawl;Summer;D;Otter trawl;0.16;9.058494263;0.244225874;85540.2912;231.8165073;750;1;Deval,,,,,,,,,,,
Myctophidae;Diaphus;metopoclampus;2011;East;Otter trawl;Spring;D;Otter trawl;0.16;5.187637672;0.343784439;85540.2912;94.31123616;550;1;Deval,,,,,,,,,,,
Myctophidae;Diaphus;metopoclampus;2011;East;Otter trawl;Winter;D;Otter trawl;0.16;15.562913016;0.419591373;85540.2912;231.8165073;683.333333333333;1;Deval,,,,,,,,,,,
Notacanthidae;Notacanthus;bonaparte;2011;East;Otter trawl;Spring;D;Otter trawl;0.16;30.10911346;1.995329155;85540.2912;94.31123616;650;1;Deval,,,,,,,,,,,
Notacanthidae;Notacanthus;bonaparte;2011;East;Otter trawl;Summer;D;Otter trawl;0.16;18.09566217;0.694133614;85540.2912;162.933888;550;1;Deval,,,,,,,,,,,
Ophidiidae;Benthocometes;robustus;2010;East;Otter trawl;Fall;D;Otter trawl;0.16;11.30152308;0.619309201;85540.2912;114.0537216;525;1;Deval,,,,,,,,,,,
Ophidiidae;Benthocometes;robustus;2011;East;Otter trawl;Summer;D;Otter trawl;0.16;17.21679416;0.880561352;85540.2912;122.200416;950;1;Deval,,,,,,,,,,,
Centrolophidae;Schedophilus;medusophagus;2003;West;June;Spring;NA;Otter trawl;0.16;3694.6;0.528399347;14781652.09;49933.19392;1053.375;2;Follesa,,,,,,,,,,,
Gonostomatidae;Gonostoma;denudatum;2003;West;June;Spring;NA;Otter trawl;0.16;0;0;14781652.09;25053.64761;1094.5;2;Follesa,,,,,,,,,,,
Macrouridae;Nezumia;sclerorhynchus;2003;West;June;Spring;NA;Otter trawl;0.16;2038.4;0.403144044;14781652.09;33948.8340475;1013.5;2;Follesa,,,,,,,,,,,
Microstomatidae;Nansenia;oblita;2003;West;June;Spring;NA;Otter trawl;0.16;0;0;14781652.09;42233.29169;948.5;2;Follesa,,,,,,,,,,,
Myctophidae;Benthosema;glaciale;2003;West;June;Spring;NA;Otter trawl;0.16;0;0;14781652.09;43475.44732;969;2;Follesa,,,,,,,,,,,
Myctophidae;Ceratoscopelus;maderensis;2003;West;June;Spring;NA;Otter trawl;0.16;0;0;14781652.09;40608.93431;1002;2;Follesa,,,,,,,,,,,
Myctophidae;Diaphus;rafinesquei;2003;West;June;Spring;NA;Otter trawl;0.16;0;0;14781652.09;44456.09651;1072;2;Follesa,,,,,,,,,,,
Myctophidae;Lampanyctus;crocodilus;2003;West;June;Spring;NA;Otter trawl;0.16;2866.5;0.561164227;14781652.09;39500.27718;1018.875;2;Follesa,,,,,,,,,,,
Myctophidae;Myctophum;punctatum;2003;West;June;Spring;NA;Otter trawl;0.16;0;0;14781652.09;47301.28669;1189;2;Follesa,,,,,,,,,,,
Myctophidae;Notoscopelus;elongatus;2003;West;June;Spring;NA;Otter trawl;0.16;0;0;14781652.09;65550.56359;955.5;2;Follesa,,,,,,,,,,,
Myctophidae;Symbolophorus;veranyi;2003;West;June;Spring;NA;Otter trawl;0.16;0;0;14781652.09;26875.73107;892;2;Follesa,,,,,,,,,,,
Nemichthyidae;Nemichthys;scolopaceus;2003;West;June;Spring;NA;Otter trawl;0.16;0;0;14781652.09;16297.30109;834;2;Follesa,,,,,,,,,,,
Notacanthidae;Notacanthus;bonaparte;2003;West;June;Spring;NA;Otter trawl;0.16;445.9;0.153609785;14781652.09;18389.9439275;922.25;2;Follesa,,,,,,,,,,,
Paralepididae;Sudis;hyalina;2003;West;June;Spring;NA;Otter trawl;0.16;0;0;14781652.09;36954.13023;1070;2;Follesa,,,,,,,,,,,
Sternoptychidae;Argyropelecus;hemigymnus;2003;West;June;Spring;NA;Otter trawl;0.16;0;0;14781652.09;8112.871619;996;2;Follesa,,,,,,,,,,,
Stomiidae;Bathophilus;nigerrimus;2003;West;June;Spring;NA;Otter trawl;0.16;0;0;14781652.09;19788.02154;922;2;Follesa,,,,,,,,,,,
Stomiidae;Chauliodus;sloani;2003;West;June;Spring;NA;Otter trawl;0.16;254.8;0.055564282;14781652.09;35872.3097;903.5;2;Follesa,,,,,,,,,,,
Stomiidae;Stomias;boa;2003;West;June;Spring;NA;Otter trawl;0.16;143.325;0.016473341;14781652.09;54626.44332;944;2;Follesa,,,,,,,,,,,
Phosichthyidae;Vinciguerria;poweriae;1996;West;May;Spring;D;GOC;0.16;0.0065;5.53e-05;249750;734.5588235;417;2;Garcia-Ruiz,,,,,,,,,,,
Centrolophidae;Schedophilus;medusophagus;1999;West;NA;NA;NA;GOC;0.16;252;0.0162918;NA;0.0966744;NA;4;IFREMER,,,,,,,,,,,
Centrolophidae;Schedophilus;medusophagus;2006;Ion;NA;NA;NA;GOC;0.16;105;0.006384625;NA;0.102786;NA;4;IFREMER,,,,,,,,,,,
Centrolophidae;Schedophilus;medusophagus;2006;West;NA;NA;NA;GOC;0.16;53;0.003259956;NA;0.1016118;NA;4;IFREMER,,,,,,,,,,,
Centrolophidae;Schedophilus;medusophagus;2007;Ion;NA;NA;NA;GOC;0.16;60;0.003628742;NA;0.1033416;NA;4;IFREMER,,,,,,,,,,,
Centrolophidae;Schedophilus;medusophagus;2009;West;NA;NA;NA;GOC;0.16;360;0.022009109;NA;0.1022304;NA;4;IFREMER,,,,,,,,,,,
Centrolophidae;Schedophilus;ovalis;2009;West;NA;NA;NA;GOC;0.16;23500;1.705957707;NA;0.0872001;NA;4;IFREMER,,,,,,,,,,,
Centrolophidae;Schedophilus;ovalis;2010;West;NA;NA;NA;GOC;0.16;165;0.009284418;NA;0.1110732;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;1994;West;NA;NA;NA;GOC;0.16;8;0.000508727;NA;0.0996695;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;1996;West;NA;NA;NA;GOC;0.16;13;0.001208581;NA;0.0672276;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;1997;Ion;NA;NA;NA;GOC;0.16;19;0.001364943;NA;0.087;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;1998;Ion;NA;NA;NA;GOC;0.16;24;0.001530767;NA;0.0977474;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;1998;West;NA;NA;NA;GOC;0.16;15;0.001161847;NA;0.0806905;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;2000;East;NA;NA;NA;GOC;0.16;14;0.001224451;NA;0.0722377;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;2001;West;NA;NA;NA;GOC;0.16;10;0.000654229;NA;0.09739115;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;2002;West;NA;NA;NA;GOC;0.16;8;0.000415495;NA;0.1203384;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;2003;West;NA;NA;NA;GOC;0.16;37;0.003090444;NA;0.0811685666666667;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;2004;Ion;NA;NA;NA;GOC;0.16;7;0.000432888;NA;0.1010655;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;2004;West;NA;NA;NA;GOC;0.16;6;0.000363419;NA;0.1031866;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;2005;West;NA;NA;NA;GOC;0.16;5;0.000259745;NA;0.1203104;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;2007;Ion;NA;NA;NA;GOC;0.16;11;0.000761888;NA;0.0902364;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;2007;West;NA;NA;NA;GOC;0.16;5;0.000321403;NA;0.09723;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;2008;West;NA;NA;NA;GOC;0.16;3;0.000190307;NA;0.098525;NA;4;IFREMER,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;2009;Ion;NA;NA;NA;GOC;0.16;6;0.000415575;NA;0.0902364;NA;4;IFREMER,,,,,,,,,,,
